,Orientation,Ventilation,Shading,Insulation Thickness,Window to Wall Ratio,Electricity:Facility,DistrictCooling:Facility,DistrictHeating:Facility,total (Q)
57,0,0.0,13.576903569103013,0.23038634773915334,0.8958626269825941,5773034362.5,33943523.55552286,18311702205.351578,142.95966948314467
58,90,0.12,8.575603673955698,0.414203824497546,0.4728450733790307,5772824224.550245,0.0,15388087246.719204,125.42796282506995
59,270,0.0,12.094573724100027,0.15562641304014319,0.8536097770108867,5768341123.608062,32315724.779839862,18944192822.262115,146.67119083297425
60,90,0.0,5.045518186101562,0.2731819718768089,0.444173656054622,5772853692.156397,2389148.709865282,15733141502.999546,127.48755343419421
61,270,0.12,6.280688047433739,0.309538195697587,0.3058868361866383,5772610444.365528,0.0,15177755957.857264,124.17999015956164
62,90,0.12,21.848625787271036,0.12585129634891248,0.2652038722121254,5772715792.538892,0.0,16510184427.509705,132.07837404497832
63,270,0.12,21.292768735056484,0.4808868672155295,0.1445529278160443,5772954237.355675,0.0,13834241557.697447,116.21855838416103
64,270,0.0,26.8564577085536,0.44300931610607275,0.39807375053042227,5772310009.562748,3191565.900558755,15174881350.596558,124.18008810199785
65,270,0.0,6.32853050141404,0.39064290708053956,0.5625106479221309,5771148259.96866,1923699.752832077,16074497240.818218,129.4980181370726
66,270,0.0,9.496884509089028,0.18416749558833262,0.5089391649615848,5771580021.750777,4586787.555560149,17094271380.61608,135.56091262767148
67,180,0.12,28.124038069875393,0.13337379234097463,0.8018516204105793,5772975686.982331,4249935.102698123,18752718690.099545,145.39737324013996
68,0,0.12,19.60607858340435,0.13053408429754843,0.6729060159533977,5773034362.5,0.0,18500760797.626938,143.87908957047952
69,0,0.0,14.338215077818322,0.24149147291461076,0.21085822511200777,5773034362.5,0.0,15070164428.004406,123.54477105584223
70,90,0.12,4.229279051053463,0.03276764066577977,0.3127000800517606,5772943351.655618,28211211.4620439,21992511065.601044,164.7425662162284
71,270,0.0,5.684138164517732,0.267284297924196,0.27662582326624735,5772688892.683852,0.0,15272747693.376785,124.74350366891004
72,0,0.12,0.5335271848190566,0.44083261700325865,0.8067478506849325,5773034362.5,0.0,17100455471.605648,135.579000766913
73,180,0.12,10.585199063825193,0.291549149100724,0.640517849526496,5773017714.612994,0.0,16500853689.895836,132.02485716592452
74,90,0.0,5.205862828690549,0.394412119970445,0.5067486171679714,5772764468.961729,2027961.3629466817,15604501607.322803,126.72239101898292
75,180,0.0,24.842604325135532,0.3301543625207935,0.34502355317793915,5773034362.5,321169.09657175513,15122256767.25902,123.85544385393648
76,180,0.12,20.71688278890695,0.31611950912109205,0.2871461152292115,5773034362.5,0.0,14906909800.496601,122.57710501849449
77,0,0.0,17.139756580252524,0.05555762493149046,0.23649280245036702,5773034362.5,47947810.95505353,19775228556.780296,151.71749913955946
